OHLCData{timestamp=2021-07-02T04:00, open=135.160, high=137.190, low=134.990, close=137.120, volume=1513546.0}
OHLCData{timestamp=2021-07-06T04:00, open=137.310, high=140.250, low=137.280, close=139.100, volume=1819578.0}
OHLCData{timestamp=2021-07-07T04:00, open=140.700, high=141.980, low=139.820, close=141.730, volume=1999729.0}
OHLCData{timestamp=2021-07-08T04:00, open=138.860, high=141.160, low=137.860, close=140.420, volume=1499721.0}
OHLCData{timestamp=2021-07-09T04:00, open=139.920, high=142.710, low=139.810, close=142.160, volume=1355264.0}
OHLCData{timestamp=2021-07-12T04:00, open=143.300, high=143.360, low=141.120, close=141.700, volume=1035828.0}
OHLCData{timestamp=2021-07-13T04:00, open=141.130, high=144.490, low=140.750, close=142.690, volume=1135528.0}
OHLCData{timestamp=2021-07-14T04:00, open=145.100, high=146.560, low=144.730, close=146.310, volume=2655097.0}
OHLCData{timestamp=2021-07-15T04:00, open=146.250, high=146.980, low=144.190, close=145.500, volume=1898379.0}
OHLCData{timestamp=2021-07-16T04:00, open=145.610, high=146.750, low=142.960, close=143.440, volume=1175948.0}
OHLCData{timestamp=2021-07-19T04:00, open=140.790, high=141.130, low=138.840, close=139.630, volume=1617156.0}
OHLCData{timestamp=2021-07-20T04:00, open=140.670, high=144.130, low=140.130, close=143.230, volume=1162047.0}
OHLCData{timestamp=2021-07-21T04:00, open=142.530, high=143.190, low=141.800, close=142.440, volume=1069706.0}
OHLCData{timestamp=2021-07-22T04:00, open=143.030, high=145.220, low=142.910, close=143.790, volume=976425.0}
